hour, name, id, CanonEqualityRank, CanonNeedsRank, CanonProductivityRank, CanonSocialUtilityRank, CanonSupplyAndDemandRank
0, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,0 ,0 ,0 ,0 ,0
0, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,0 ,0 ,0 ,0 ,0
0, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,0 ,0 ,0 ,0 ,0
0, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,0 ,0 ,0 ,0 ,0
0, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,0 ,0 ,0 ,0 ,0
1, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,1 ,1 ,1 ,1 ,1
1, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,1 ,1 ,1 ,1 ,1
1, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,1 ,1 ,1 ,1 ,1
1, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,1 ,1 ,1 ,1 ,1
1, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,1 ,1 ,1 ,1 ,1
2, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,1 ,1 ,1 ,3 ,3
2, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,1 ,1 ,4 ,1 ,3
2, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,1 ,1 ,3 ,5 ,1
2, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,1 ,1 ,5 ,3 ,1
2, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,1 ,1 ,2 ,2 ,3
3, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,3 ,1 ,2 ,4 ,3
3, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,4 ,1 ,2 ,5 ,3
3, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,1 ,1 ,2 ,2 ,1
3, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,1 ,1 ,5 ,2 ,1
